Time	Distance	Power
0.12	3.66	216.235264
0.17	6.32	242.2548
0.22	8.91	176.247768
0.27	11.57	279.523712
0.32	14.22	294.15568
0.37	16.85	315.07788
0.42	19.5	239.030656
0.47	22.16	234.38032
0.52	24.81	260.12448
0.57	27.5	171.330768
0.62	30.21	229.482224
0.67	32.9	211.600632
0.72	35.55	303.910488
0.77	38.24	252.765872
0.82	40.92	235.753896
0.87	43.61	200.451
0.92	46.36	214.937072
0.969	49.1	222.664656
1.019	51.82	170.11728
1.069	54.57	163.602288
1.119	57.28	165.229304
1.169	60.03	243.488192
1.219	62.78	312.98748
1.269	65.49	288.54864
1.319	68.24	301.323392
1.369	70.98	266.366256
1.419	73.7	269.279808
1.469	76.45	314.142528
1.519	79.22	319.02088
1.569	82	197.070336
1.619	84.78	27.73248
1.669	87.59	-35.70632
1.719	90.36	-28.59296
1.769	93.14	-26.179048
1.819	95.95	-27.535104
1.869	98.7	-38.686896
1.919	101.41	-30.352896
1.969	104.16	-79.20828
2.019	106.9	-194.11288
2.069	109.59	-216.32
2.119	112.28	-277.51416
2.169	114.87	-262.790112
2.219	117.46	-186.02144
2.269	119.97	-170.939672
2.319	122.53	-208.155328
2.369	125	-197.376192
2.419	127.44	-291.123016
2.469	129.82	-330.736208
2.519	132.17	-315.571032
2.569	134.49	-228.145984
2.619	136.72	-267.093288
2.669	138.98	-196.563744
2.719	141.15	-239.29344
2.769	143.31	-310.499296
2.818	145.36	-310.705736
2.868	147.49	-199.439944
2.918	149.45	-176.24136
2.968	151.43	-264.93192
3.018	153.35	-228.00088
3.068	155.25	-208.654248
3.118	157.08	-327.431648
3.168	158.88	-256.28444
3.218	160.62	-193.68116
3.268	162.33	-325.73112
3.318	164.03	-207.999
3.368	165.68	-264.45184
3.418	167.24	-232.91672
3.468	168.83	-210.0492
3.518	170.29	-186.59256
3.568	171.82	-229.336272
3.618	173.34	-189.647104
3.668	174.87	-240.07572
3.718	176.39	-143.59048
3.768	177.92	-118.1408
3.818	179.39	-195.850344
3.868	180.79	-137.79064
3.918	182.19	-167.22816
3.968	183.6	-114.124
4.018	184.97	-128.50776
4.068	186.31	-110.1996
4.118	187.62	-99.6188
4.168	188.94	-75.529872
4.218	190.28	-39.45216
4.268	191.59	-27.523536
4.318	192.9	0.219328
4.368	194.19	11.053344
4.418	195.56	17.860752
4.468	196.87	15.542
4.518	198.15	18.878208
4.568	199.5	27.554208
4.618	200.78	18.293168
4.668	202.06	26.417904
4.717	203.31	34.98056
4.767	204.62	34.322168
4.817	205.94	44.448768
4.867	207.25	49.424256
4.917	208.53	50.450432
4.967	209.87	80.127104
5.017	211.15	91.47064
5.067	212.47	112.3356
5.117	213.78	85.622808
5.167	215.09	88.806528
5.217	216.4	128.450976
5.267	217.78	118.48928
5.317	219.09	99.135784
5.367	220.43	179.526256
5.417	221.77	146.259168
5.467	223.06	165.171888
5.517	224.4	312.659424
5.567	225.77	232.79992
5.617	227.12	301.80276
5.667	228.52	162.332352
5.717	229.89	309.995056
5.767	231.27	300.978744
5.817	232.7	210.833496
5.867	234.07	176.64416
5.917	235.51	187.757856
5.967	236.97	210.262336
6.017	238.44	163.863408
6.067	239.87	240.7824
6.117	241.4	244.316288
6.167	242.8	236.109048
6.217	244.3	240.6972
6.267	245.82	183.96864
6.317	247.35	210.35456
6.367	248.87	190.347216
6.417	250.4	238.625728
6.467	252.02	252.184608
6.517	253.6	285.955536
6.566	255.13	188.858592
6.616	256.66	226.14256
6.666	258.34	293.8936
6.716	259.89	269.766456
6.766	261.54	268.044848
6.816	263.16	260.114176
6.866	264.77	252.003648
6.916	266.45	224.624
6.966	268.1	271.385856
7.016	269.78	214.843944
7.066	271.46	248.739568
7.116	273.11	229.440192
7.166	274.85	319.909392
7.216	276.55	289.165192
7.266	278.23	323.088
7.316	279.97	163.218424
7.366	281.74	271.38048
7.416	283.45	222.982608
7.47	285.25	208.405176
7.526	287.02	237.567288
7.576	288.85	224.617328
7.626	290.62	247.210056
7.676	292.45	214.94396
7.726	294.25	300.555168
7.776	296.06	303.735808
7.826	297.89	277.918976
7.876	299.78	290.96064
7.926	301.61	163.182872
7.976	303.5	166.437288
8.026	305.33	234.36988
8.076	307.16	289.176648
8.126	309.09	255.63384
8.176	310.98	219.783072
8.226	312.87	257.05344
8.276	314.79	244.595968
8.326	316.72	229.658
8.376	318.67	279.421728
8.425	320.62	214.077864
8.475	322.58	246.080304
8.525	324.53	284.236512
8.575	326.48	199.072576
8.625	328.47	259.091504
8.675	330.51	275.122584
8.725	332.49	240.8016
8.775	334.48	261.768872
8.825	336.52	303.70032
8.875	338.51	238.058592
8.925	340.49	294.436752
8.975	342.5	274.560336
9.025	344.55	306.683352
9.075	346.68	188.340984
9.125	348.73	178.285536
9.175	350.74	274.608216
9.225	352.79	249.02672
9.275	354.83	233.27948
9.325	356.97	294.341592
9.375	359.08	209.04416
9.425	361.15	208.77896
9.475	363.26	289.59408
9.525	365.36	302.415296
9.575	367.44	261.6802
9.625	369.6	228.032688
9.675	371.74	194.714168
9.725	373.91	240.9672
9.775	376.04	223.208424
9.825	378.18	258.9846
9.875	380.35	252.585368
9.925	382.48	317.95632
9.975	384.65	195.91248
10.025	386.82	268.713688
10.075	389.04	316.835888
10.125	391.21	268.184632
10.175	393.44	178.342368
10.225	395.64	207.497016
10.275	397.8	307.270104
10.324	400.03	301.873856
10.374	402.29	321.624
10.424	404.52	275.134896
10.474	406.74	189.472128
10.524	409.03	218.409472
10.574	411.23	210.818824
10.624	413.52	320.0318
10.674	415.75	296.99456
10.724	418.01	183.145104
10.774	420.23	278.36392
10.824	422.52	187.909488
10.874	424.81	186.308992
10.924	427.13	270.277056
10.974	429.48	186.552128
11.024	431.74	223.013824
11.074	434.06	265.11144
11.124	436.32	319.473008
11.174	438.64	300.6212
11.224	440.96	292.309472
11.274	443.27	296.85544
11.324	445.65	167.126336
11.374	447.97	321.3024
11.424	450.32	232.986
11.474	452.67	165.488864
11.524	455.02	186.143808
11.574	457.34	170.322496
11.624	459.72	300.491048
11.674	462.1	165.481448
11.724	464.52	165.51688
11.774	466.87	277.680224
11.824	469.28	281.2586
11.874	471.69	170.211408
11.924	474.07	192.91008
11.974	476.45	273.11112
12.024	478.86	234.379056
12.074	481.24	167.16128
12.124	483.65	309.959544
12.173	486.09	165.586096
12.223	488.53	263.477152
12.273	490.97	194.189512
12.323	493.42	216.94716
12.373	495.86	279.49272
12.423	498.3	253.774544
12.473	500.74	314.774432
12.523	503.18	263.542752
12.573	505.62	218.325696
12.623	508.09	228.179232
12.673	510.57	197.56752
12.723	513.07	269.953152
12.773	515.54	284.24076
12.823	518.04	289.296
12.873	520.55	160.5856
12.923	523.02	255.45576
12.973	525.52	287.56708
13.023	527.99	170.336064
13.073	530.5	281.0374
13.123	533	228.214448
13.173	535.47	186.362816
13.223	538	266.678336
13.273	540.51	271.514048
13.323	543.07	253.88704
13.373	545.63	247.460752
13.423	548.13	171.901064
13.473	550.7	274.627368
13.523	553.26	171.989232
13.573	555.76	239.315456
13.623	558.33	245.441376
13.673	560.89	307.037848
13.723	563.36	206.889168
13.773	565.96	206.950056
13.823	568.55	231.291648
13.873	571.15	198.83648
13.923	573.74	197.299872
13.973	576.3	251.924712
14.023	578.9	218.26912
14.072	581.49	269.352384
14.122	584.08	292.163872
14.172	586.65	301.655776
14.222	589.27	163.645536
14.272	591.84	171.59376
14.322	594.46	242.45164
14.372	596.99	245.498904
14.422	599.65	293.530536
14.472	602.3	245.366712
14.522	604.9	248.90272
14.572	607.55	282.063232
14.622	610.18	263.267232
14.672	612.8	290.040192
14.722	615.49	247.638048
14.772	618.05	14.805312
14.822	620.74	-216.37356
14.872	623.3	-224.45592
14.922	625.86	-281.290176
14.972	628.37	-260.273888
15.022	630.81	-81.025008
15.072	633.22	-127.6836
15.122	635.63	-90.973968
15.172	638.07	-108.63776
15.222	640.51	-178.714368
15.272	642.95	-246.58416
15.322	645.3	-246.073816
15.372	647.71	-147.379624
15.422	650.1	-122.966016
15.472	652.48	-67.93592
15.522	654.83	-59.334
15.572	657.21	-43.875936
15.622	659.53	-103.50744
15.672	661.84	-65.798048
15.722	664.13	-128.898624
15.772	666.36	-175.99824
15.822	668.62	-258.2544
15.872	670.85	-288.146688
15.921	673.04	-278.560008
15.971	675.21	-182.7166
16.021	677.41	-164.022528
16.071	679.55	-305.591104
16.121	681.68	-182.962784
16.171	683.76	-205.124072
16.221	685.83	-160.86928
16.271	687.88	-141.077336
16.321	690.01	-203.5376
16.371	692.03	-109.754944
16.421	693.98	-146.52288
16.471	696.03	-155.002056
16.521	697.98	-76.065696
16.571	699.93	-57.63484
16.621	701.92	-32.728536
16.671	703.84	7.888064
16.721	705.79	11.429184
16.771	707.71	24.80256
16.821	709.64	15.435168
16.871	711.53	19.709456
16.921	713.45	-6.856944
16.971	715.34	-23.746304
17.021	717.24	-13.849056
17.071	719.16	-29.873392
17.121	720.99	-75.712896
17.171	722.88	-68.848416
17.221	724.71	-111.658176
17.271	726.54	-141.607584
17.321	728.37	-116.316552
17.371	730.17	-94.92156
17.421	731.91	-122.468928
17.471	733.68	-83.63168
17.521	735.42	-38.28616
17.571	737.19	-52.97504
17.621	738.9	-49.967568
17.671	740.61	-44.0766
17.721	742.32	-39.104304
17.771	744.03	-34.20416
17.82	745.71	-25.053784
17.87	747.39	-30.149184
17.92	749.03	-15.939
17.97	750.68	-19.423328
18.02	752.36	-20.842096
18.07	754.01	-12.47148
18.12	755.63	-16.5536
18.17	757.27	-28.988944
18.22	758.83	-17.073504
18.27	760.51	-22.426992
18.32	762.07	-7.4094
18.37	763.71	12.116312
18.42	765.24	18.45072
18.47	766.86	16.764696
18.52	768.44	27.065424
18.57	769.97	32.850624
18.62	771.5	38.679744
18.67	773.11	41.270864
18.72	774.7	64.072736
18.77	776.23	83.898912
18.82	777.75	70.65984
18.87	779.31	77.385024
18.92	780.96	127.3104
18.97	782.48	114.576384
19.02	784.01	86.003328
19.07	785.56	155.6694
19.12	787.21	103.610608
19.17	788.74	156.501936
19.22	790.26	169.780784
19.27	791.82	142.447264
19.32	793.47	227.948208
19.37	795.09	162.203152
19.42	796.67	188.438656
19.47	798.29	150.065792
19.52	799.88	153.752632
19.57	801.56	279.290424
19.62	803.17	264.276832
19.669	804.85	268.25032
19.719	806.47	226.488864
19.769	808.15	188.231712
19.819	809.8	239.2716
19.869	811.51	256.661048
19.919	813.18	244.060704
19.969	814.92	162.577392
20.019	816.6	264.667744
20.069	818.37	267.887424
20.119	820.08	220.036032
20.169	821.85	231.11376
20.219	823.59	250.398672
20.269	825.36	270.88616
20.319	827.13	277.358784
20.369	828.9	205.532088
20.419	830.73	290.13712
20.469	832.53	186.537312
20.519	834.33	305.856
20.569	836.16	204.422352
20.619	837.93	-72.011088
20.669	839.67	-171.128928
20.719	841.41	-252.676344
20.769	843.06	-179.545728
20.819	844.71	-191.31728
20.869	846.3	-181.6914
20.919	847.94	-149.05308
20.969	849.5	-82.465344
21.019	851.15	-122.330376
21.069	852.67	-120.226192
21.119	854.32	-105.25824
21.169	855.88	-47.597752
21.219	857.4	3.199
21.269	858.93	20.213936
21.319	860.55	21.034752
21.369	862.13	23.396688
21.419	863.66	17.74896
21.469	865.19	21.076096
21.519	866.71	5.474736
21.568	868.24	-8.181888
21.618	869.76	-52.505712
21.668	871.2	-66.64128
21.718	872.66	-52.230208
21.768	874.16	-3.89664
21.818	875.56	16.13472
21.868	877.09	56.917488
21.918	878.52	55.612
21.968	879.99	115.7344
22.018	881.48	105.42448
22.068	882.89	91.723296
22.118	884.41	192.9106
22.168	885.85	219.621888
22.218	887.31	203.4312
22.268	888.84	188.95032
22.318	890.36	193.39776
22.368	891.89	219.951312
22.418	893.42	147.84
22.468	894.94	151.066392
22.518	896.47	301.692384
22.568	897.99	246.698144
22.618	899.52	208.70824
22.668	901.14	167.594752
22.718	902.72	190.811664
22.768	904.28	193.93728
22.818	905.93	179.337816
22.868	907.52	287.623792
22.918	909.13	221.415016
22.968	910.78	187.495904
23.018	912.4	321.52032
23.068	914.08	271.44096
23.118	915.72	213.358464
23.168	917.4	247.210056
23.218	919.08	318.389824
23.268	920.79	229.482224
23.318	922.47	263.350624
23.368	924.21	264.992512
23.417	925.92	310.368768
23.467	927.69	203.559936
23.517	929.49	154.68504
23.567	931.26	162.88008
23.617	933.03	205.537816
23.667	934.8	266.76408
23.717	936.6	293.97368
23.767	938.4	208.475352
23.817	940.2	174.521088
23.867	942	198.735528
23.917	943.83	186.81104
23.967	945.66	306.376224
24.017	947.52	221.558448
24.067	949.39	305.81944
24.117	951.22	204.000608
